Name,Released year,Genre,Director,Runtime,Score,Status,Language,Budget,Revenue
Hard Days,2023,"['Thriller', 'Crime', 'Action', 'Drama']",Michihito Fujii,1h 58m,66.0,Released,Japanese,-,-
Jimmy Timmy Power Hour,2004,"['Animation', 'Comedy', 'Family', 'Fantasy', 'TV Movie', 'Science Fiction']",Butch Hartman,50m,71.0,Released,English,-,-
Shrek,2001,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",Andrew Adamson,1h 30m,77.0,Released,English,"$60,000,000.00","$487,900,000.00"
Animal,2023,"['Action', 'Crime', 'Drama']",Sandeep Reddy Vanga,3h 21m,73.0,Released,Hindi,"$13,000,000.00","$83,000,000.00"
The Hobbit: The Battle of the Five Armies,2014,"['Action', 'Adventure', 'Fantasy']",Peter Jackson,2h 24m,73.0,Released,English,"$250,000,000.00","$956,019,788.00"
172 Days,2023,"['Drama', 'Romance']",Hadrah Daeng Ratu,1h 43m,60.0,Released,Indonesian,-,-
The Mercator Trail,2022,"['Adventure', 'Family']",Douglas Boswell,1h 33m,60.0,Released,Dutch; Flemish,-,-
Night Train,2023,"['Action', 'Thriller', 'Crime']",Shane Stanley,1h 36m,63.0,Released,English,-,-
Harry Potter and the Deathly Hallows: Part 2,2011,"['Fantasy', 'Adventure']",David Yates,2h 10m,81.0,Released,English,"$125,000,000.00","$1,341,511,219.00"
The Last Voyage of the Demeter,2023,"['Thriller', 'Horror']",André Øvredal,1h 59m,71.0,Released,English,"$45,000,000.00","$21,600,000.00"
Mortal Kombat Legends: Cage Match,2023,"['Animation', 'Action', 'Fantasy']",Ethan Spaulding,1h 20m,70.0,Released,English,-,-
The Equalizer,2014,"['Thriller', 'Action', 'Crime']",Antoine Fuqua,2h 12m,73.0,Released,English,"$55,000,000.00","$192,330,738.00"
Minions: The Rise of Gru,2022,"['Animation', 'Comedy', 'Family']",Matthew Fogel,1h 27m,74.0,Released,English,"$85,000,000.00","$940,000,000.00"
Balkan Line,2019,"['Drama', 'Action', 'War']",Andrey Volgin,2h 10m,76.0,Released,Russian,"$3,500,000.00","$4,944,386.00"
Titanic,1997,"['Drama', 'Romance']",James Cameron,3h 14m,79.0,Released,English,"$200,000,000.00","$2,264,162,353.00"
The Lord of the Rings: The Fellowship of the Ring,2001,"['Adventure', 'Fantasy', 'Action']",Peter Jackson,2h 59m,84.0,Released,English,"$93,000,000.00","$871,368,364.00"
The Nightmare Before Christmas,1993,"['Fantasy', 'Animation', 'Family']",Tim Burton,1h 16m,78.0,Released,English,"$24,000,000.00","$75,634,409.00"
